Price,Airline,Departure Date,Departure Time
792.36,TK,2025-07-27,2025-07-27T19:50:00
792.36,TK,2025-07-28,2025-07-28T15:00:00
792.36,TK,2025-07-27,2025-07-27T12:50:00
792.36,TK,2025-07-28,2025-07-28T15:00:00
954.84,6X,2025-07-27,2025-07-27T20:00:00
954.84,6X,2025-07-28,2025-07-28T10:00:00
1026.40,AC,2025-07-27,2025-07-27T15:55:00
1026.40,AC,2025-07-27,2025-07-27T20:20:00
1026.40,AC,2025-07-28,2025-07-28T15:25:00
1144.36,TK,2025-07-27,2025-07-27T12:50:00
1144.36,TK,2025-07-28,2025-07-28T08:00:00
1246.26,UX,2025-07-27,2025-07-27T22:05:00
1246.26,UX,2025-07-28,2025-07-28T13:05:00
1246.26,UX,2025-07-28,2025-07-28T21:00:00
1727.93,IB,2025-07-27,2025-07-27T16:45:00
1727.93,IB,2025-07-28,2025-07-28T10:15:00
2201.72,SK,2025-07-27,2025-07-27T18:55:00
2201.72,SK,2025-07-29,2025-07-29T08:00:00
4117.27,LH,2025-07-27,2025-07-27T21:50:00
4117.27,LX,2025-07-28,2025-07-28T20:00:00
